"","Location","Tournament","Date","Series","Court","Surface","Round","BestOf","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Comment","Result","RankNadal","RankRival","RivalName","PartidosUlt6Meses","PartidosUlt3Meses","PartidosUltMes","WRUlt6Meses","WRUlt3Meses","WRUltMes","PartidosRivalUlt6Meses","PartidosRivalUlt3Meses","PartidosRivalUltMes","WRRivalUlt6Meses","WRRivalUlt3Meses","WRRivalUltMes","SetsNadal","SetsRival","SetsGanadosUltPartido","SetsPerdidosUltPartido","ResultUltPartido","RoundUltPartido","H2HPartidos","H2HGanados","H2HWR"
"1","Doha","Qatar Exxon Mobil Open",2005-01-04,"International","Outdoor","Hard","1st Round","3",6,3,7,6,NA,NA,NA,NA,NA,NA,"Completed","Win",51,16,"Youzhny M.",1,1,1,1,1,1,1,1,1,0,0,0,2,0,0,0,NA,NA,0,0,NA
"2","Doha","Qatar Exxon Mobil Open",2005-01-05,"International","Outdoor","Hard","2nd Round","3",6,2,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",51,36,"Verdasco F.",2,2,2,1,1,1,2,2,2,0.5,0.5,0.5,2,0,2,0,"Win","1st Round",0,0,NA
"3","Doha","Qatar Exxon Mobil Open",2005-01-06,"International","Outdoor","Hard","Quarterfinals","3",6,2,6,7,6,3,NA,NA,NA,NA,"Completed","Lose",51,22,"Ljubicic I.",3,3,3,0.666666666666667,0.666666666666667,0.666666666666667,3,3,3,1,1,1,1,2,2,0,"Win","2nd Round",0,0,NA
"4","Auckland","Heineken Open",2005-01-11,"International","Outdoor","Hard","1st Round","3",6,3,NA,NA,NA,NA,NA,NA,NA,NA,"Retired","Lose",50,20,"Hrbaty D.",4,4,4,0.5,0.5,0.5,1,1,1,1,1,1,0,1,1,2,"Lose","Quarterfinals",0,0,NA
"5","Melbourne","Australian Open",2005-01-18,"Grand Slam","Outdoor","Hard","1st Round","5",6,0,6,4,6,2,NA,NA,NA,NA,"Completed","Win",56,65,"Benneteau J.",5,5,5,0.6,0.6,0.6,4,4,4,0.25,0.25,0.25,3,0,0,1,"Lose","1st Round",0,0,NA
"6","Melbourne","Australian Open",2005-01-20,"Grand Slam","Outdoor","Hard","2nd Round","5",6,1,4,6,4,6,7,5,6,3,"Completed","Win",56,15,"Youzhny M.",6,6,6,0.666666666666667,0.666666666666667,0.666666666666667,3,3,3,0.333333333333333,0.333333333333333,0.333333333333333,3,2,3,0,"Win","1st Round",1,1,1
"7","Melbourne","Australian Open",2005-01-22,"Grand Slam","Outdoor","Hard","3rd Round","5",6,1,6,1,6,3,NA,NA,NA,NA,"Completed","Win",56,283,"Reynolds B.",7,7,7,0.714285714285714,0.714285714285714,0.714285714285714,3,3,3,0.666666666666667,0.666666666666667,0.666666666666667,3,0,3,2,"Win","2nd Round",0,0,NA
"8","Melbourne","Australian Open",2005-01-24,"Grand Slam","Outdoor","Hard","4th Round","5",7,5,3,6,1,6,7,6,6,2,"Completed","Lose",56,3,"Hewitt L.",8,8,8,0.625,0.625,0.625,12,12,12,0.916666666666667,0.916666666666667,0.916666666666667,2,3,3,0,"Win","3rd Round",0,0,NA
"9","Buenos Aires","ATP Buenos Aires 2005",2005-02-08,"International","Outdoor","Clay","1st Round","3",7,6,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",48,61,"Calleri A.",9,9,6,0.666666666666667,0.666666666666667,0.666666666666667,9,9,7,0.444444444444444,0.444444444444444,0.428571428571429,2,0,2,3,"Lose","4th Round",0,0,NA
"10","Buenos Aires","ATP Buenos Aires 2005",2005-02-10,"International","Outdoor","Clay","2nd Round","3",6,1,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",48,66,"Starace P.",10,10,6,0.7,0.7,0.833333333333333,8,8,6,0.375,0.375,0.333333333333333,2,0,2,0,"Win","1st Round",0,0,NA
